pk_local;Region Code;Address Number;City;Country;Customer Address 1;Customer Address 2;Customer Address 3;Customer Address 4;State;Zip Code
2b5acd641ed5510ee3e30be34d9c5f132479c3061c3a4038ecb8e603ce0a3621;1;10019388;Ft Collins;US;1101 N College Avenue;Não Informado;Não Informado;Não Informado;CO;80524
8990c56d516950e03b0fd79d49f870df5a5dbcec322d74c55e23e4607bf28af6;5;10007591;FIN 00710;UK;Hiekkakiventie 7;Não Informado;Não Informado;Não Informado;Não Informado;710
75d17f6bd7bad7d9da2889b7c03acd693fdafda62565edd01fda6dcc0052f55c;5;10013332;"";"";"";"";"";"";"";""
ff99b16ebb5765286791938374885f7972d9a263929be6c2d1d8dbf3f6d2e62c;5;10003749;"";"";"";"";"";"";"";""
4e45f2aa46651966638069b834bbe14888732a304a59208b6c5d5cfe20a81c6f;1;10011398;Eugene;US;1942 W 11th Avenue;Não Informado;Não Informado;Não Informado;OR;97402-3519
953d76b0ace59b1c6a25d5dfb1de5d28ed0499fc5c32a85f67d3d864e95b5622;4;10019665;Hammond;US;7940 New Jersey Avenue;Não Informado;Não Informado;Não Informado;IN;46323
0086319e195fdc128a19354df3c4c64a3d91534e449877d69e161742dcd71622;4;10019942;New Castle;US;299 East Country Road 300 South;Não Informado;Não Informado;Não Informado;IN;47362
2cfbc88b4b8ba7c2891a2089b573568a0a858ec689e6f933334628db855ac75c;2;10007564;Cleveland;US;1287 US Highway 59 North;Não Informado;Não Informado;Não Informado;TX;77327
01b54b384c8a96a29b0a8e27e108768ea7c861619f9bf7f0887be6261ad9aa74;3;10012715;Exeter;US;44 Tunkhannock Avenue;Não Informado;Não Informado;Não Informado;PA;18643
5ef95a72e90b241b5e15edcdc138d3b5c96fd1426655d91cd78cb44c2e76317c;3;10016303;Buffalo;US;60 Depot Street;Não Informado;Não Informado;Não Informado;NY;14206
ad598014c96feb7789a4e29a59255cf9376595a9768347ab726424464f76f60a;3;10011198;Framingham;US;703 Waverly Street;Route 135;Não Informado;Não Informado;MA;1702
